"id","ano","area","posicao_provaAzul","RMSEA.X2","crit","a","bc_homogenea","bc_aleatoria","flag_RMSEA.X2","flag_crit","flag_a","flag_bc_a","flag_polemica","flag_suspeito_1","flag_suspeito_2","flag_inadequado_1","flag_nao_contou","flag_inadequado_2"
58083,2009,"ch",19,0.0217750984634438,0,1.44443200390391,0.800785802634003,0.525394137796026,0,0,0,0,0,0,0,0,0,0
58114,2009,"ch",29,0.0365233251182034,0,1.23483376191894,0.76817721123109,0.497867639968328,0,0,0,0,0,0,0,0,0,0
58520,2009,"ch",24,0.0414481249756868,0,0.950914569371129,0.668699904733313,0.460624424573685,0,0,0,0,0,0,0,0,0,0
58533,2009,"ch",9,0.0422568517999606,0,1.35503278729746,0.789572268831805,0.480964523815607,0,0,0,0,0,0,0,0,0,0
58536,2009,"ch",14,0.0310676496879305,0,1.43101279913683,0.813094053991337,0.538825690956348,0,0,0,0,0,0,0,0,0,0
58726,2009,"ch",39,0.0267484590709219,0,1.92494775591915,0.835273552428957,0.536339044744921,0,0,0,0,0,0,0,0,0,0
58778,2009,"ch",34,0.0247570495394778,0,1.94264231353212,0.881331448217124,0.582328054444976,0,0,0,0,0,0,0,0,0,0
60181,2009,"ch",1,0.0491270316236322,0,0.88744706367738,0.653894503522524,0.42787855265631,0,0,0,0,0,0,0,0,0,0
60182,2009,"ch",2,0.0152034526882874,0,1.49017522818658,0.790901669725004,0.490123567847737,0,0,0,0,0,0,0,0,0,0
60183,2009,"ch",3,0.0239181822984882,0,1.29610787510168,0.720057602042418,0.429897907770211,0,0,0,0,0,0,0,0,0,0
60184,2009,"ch",4,0.0239351467363243,0,1.30009713225899,0.539909861347037,0.187068094955139,0,0,0,1,0,0,1,0,0,0
60185,2009,"ch",5,0.0242531415416107,0,0.704626920008538,0.507435970531766,0.226273369571851,0,0,0,1,0,0,1,0,0,0
60186,2009,"ch",6,0.0477101374062112,0,1.03569129197543,0.706874502249139,0.504260491318613,0,0,0,0,0,0,0,0,0,0
60187,2009,"ch",7,0.013428817561542,0,1.52421841323888,0.799589367224972,0.53402758470168,0,0,0,0,0,0,0,0,0,0
60188,2009,"ch",8,0.0204724711057714,0,1.21808699528748,0.737141016069568,0.492008033815943,0,0,0,0,0,0,0,0,0,0
60189,2009,"ch",10,0.0244610547254017,0,1.60771168245243,0.737764780860194,0.41320919677655,0,0,0,0,0,0,0,0,0,0
60190,2009,"ch",11,0.0320850241684948,0,0.827813639010954,0.59640032011087,0.328842180185663,0,0,0,0,0,0,0,0,0,0
60191,2009,"ch",12,0.0248827078811442,0,1.48203010524028,0.80867386196171,0.516397760746393,0,0,0,0,0,0,0,0,0,0
60192,2009,"ch",13,0.0403212606107299,0,0.83772481970467,0.461090408646788,0.13290855398475,0,0,0,1,0,0,1,0,0,0
60193,2009,"ch",15,0.0312207083013372,0,1.63123008528874,0.850242151098355,0.597366659353268,0,0,0,0,0,0,0,0,0,0
60194,2009,"ch",16,0.0289441167522553,0,1.80305570653531,0.865249062477775,0.543595678423607,0,0,0,0,0,0,0,0,0,0
60195,2009,"ch",17,0.0188104214852801,0,2.3411432321566,0.920459228053656,0.682662258246555,0,0,0,0,0,0,0,0,0,0
60196,2009,"ch",18,0.0420081962039737,0,0.522178642255928,0.40713347128543,0.144118668470645,0,0,0,1,0,0,1,0,0,0
60197,2009,"ch",20,0.0251165836205547,0,1.02782583764117,0.668783276769478,0.376698285805613,0,0,0,0,0,0,0,0,0,0
60198,2009,"ch",21,0.0412817385039796,0,0.929042264866232,0.653808734662428,0.370728346316464,0,0,0,0,0,0,0,0,0,0
60199,2009,"ch",22,0.0318472927690178,0,0.334324387350503,0.238092777015983,0.110739051771053,0,0,1,1,0,1,1,1,0,1
60200,2009,"ch",23,0.0270568795215253,0,2.26040502992707,0.883085195944666,0.599924831141407,0,0,0,0,0,0,0,0,0,0
60201,2009,"ch",25,0.0317620157658334,0,1.25500714283435,0.720187519977192,0.38679395506106,0,0,0,0,0,0,0,0,0,0
60202,2009,"ch",26,0.0221563834010771,0,1.11345641265656,0.69799135084583,0.417533582135205,0,0,0,0,0,0,0,0,0,0
60203,2009,"ch",27,0.0239356975366141,0,1.50084022291691,0.811722653586485,0.528031028401007,0,0,0,0,0,0,0,0,0,0
60204,2009,"ch",28,0.0315435904668065,0,1.44296701475011,0.738106622762564,0.400920626809229,0,0,0,0,0,0,0,0,0,0
60205,2009,"ch",30,0.0206451644767251,0,1.84472248862748,0.870934631584112,0.613922216075265,0,0,0,0,0,0,0,0,0,0
60206,2009,"ch",31,0.0201352495064232,0,1.73894045273427,0.813524251792715,0.539071368114274,0,0,0,0,0,0,0,0,0,0
60207,2009,"ch",32,0.0201177977855385,0,1.09477375473718,0.680351785933693,0.408155159327634,0,0,0,0,0,0,0,0,0,0
60208,2009,"ch",33,0.0243615842195048,0,2.12386024161159,0.889751409621437,0.61285243990225,0,0,0,0,0,0,0,0,0,0
60209,2009,"ch",35,0.0302682476524883,0,1.16227787411127,0.673691476057997,0.352715345326122,0,0,0,0,0,0,0,0,0,0
60210,2009,"ch",36,0.0216987105145004,0,1.94353946095478,0.867081177936421,0.586009737754139,0,0,0,0,0,0,0,0,0,0
60211,2009,"ch",37,0.0264749471682371,0,1.53805858305538,0.775828238134622,0.525536738709282,0,0,0,0,0,0,0,0,0,0
60212,2009,"ch",38,0.0206658562701809,0,1.35087420936213,0.761032337651021,0.479996176951015,0,0,0,0,0,0,0,0,0,0
